"Statistic","Annual","Local Government Districts","Components of Change","UNIT","VALUE"
"Components of population change - Local Government Districts","2016-2017","Derry City and Strabane","United Kingdom Net","Count","-1"
"Components of population change - Local Government Districts","2016-2017","Derry City and Strabane","Rest of world Inflows","Count","468"
"Components of population change - Local Government Districts","2016-2017","Derry City and Strabane","Rest of world Outflows","Count","655"
"Components of population change - Local Government Districts","2016-2017","Derry City and Strabane","Rest of world Net","Count","-187"
"Components of population change - Local Government Districts","2016-2017","Derry City and Strabane","Total Inflows","Count","4124"
"Components of population change - Local Government Districts","2016-2017","Derry City and Strabane","Total Outflows","Count","4657"
"Components of population change - Local Government Districts","2016-2017","Derry City and Strabane","Total Net","Count","-533"
"Components of population change - Local Government Districts","2016-2017","Derry City and Strabane","Other changes","Count","142"
"Components of population change - Local Government Districts","2016-2017","Derry City and Strabane","Migration and other changes","Count","-391"
"Components of population change - Local Government Districts","2016-2017","Derry City and Strabane","End population","Count","150497"
"Components of population change - Local Government Districts","2016-2017","Fermanagh and Omagh","Starting population","Count","115799"
"Components of population change - Local Government Districts","2016-2017","Fermanagh and Omagh","Births","Count","1487"
"Components of population change - Local Government Districts","2016-2017","Fermanagh and Omagh","Deaths","Count","976"
"Components of population change - Local Government Districts","2016-2017","Fermanagh and Omagh","Natural Change","Count","511"
"Components of population change - Local Government Districts","2016-2017","Fermanagh and Omagh","Internal Inflows","Count","2503"
"Components of population change - Local Government Districts","2016-2017","Fermanagh and Omagh","Internal Outflows","Count","2723"
"Components of population change - Local Government Districts","2016-2017","Fermanagh and Omagh","Internal Net","Count","-220"
"Components of population change - Local Government Districts","2016-2017","Fermanagh and Omagh","United Kingdom Inflows","Count","734"
"Components of population change - Local Government Districts","2016-2017","Fermanagh and Omagh","United Kingdom Outflows","Count","591"
"Components of population change - Local Government Districts","2016-2017","Fermanagh and Omagh","United Kingdom Net","Count","143"
"Components of population change - Local Government Districts","2016-2017","Fermanagh and Omagh","Rest of world Inflows","Count","565"
"Components of population change - Local Government Districts","2016-2017","Fermanagh and Omagh","Rest of world Outflows","Count","452"
"Components of population change - Local Government Districts","2016-2017","Fermanagh and Omagh","Rest of world Net","Count","113"
"Components of population change - Local Government Districts","2016-2017","Fermanagh and Omagh","Total Inflows","Count","3802"
"Components of population change - Local Government Districts","2016-2017","Fermanagh and Omagh","Total Outflows","Count","3766"
"Components of population change - Local Government Districts","2016-2017","Fermanagh and Omagh","Total Net","Count","36"
"Components of population change - Local Government Districts","2016-2017","Fermanagh and Omagh","Other changes","Count","-57"
"Components of population change - Local Government Districts","2016-2017","Fermanagh and Omagh","Migration and other changes","Count","-21"
"Components of population change - Local Government Districts","2016-2017","Fermanagh and Omagh","End population","Count","116289"
"Components of population change - Local Government Districts","2016-2017","Lisburn and Castlereagh","Starting population","Count","141181"
"Components of population change - Local Government Districts","2016-2017","Lisburn and Castlereagh","Births","Count","1728"
"Components of population change - Local Government Districts","2016-2017","Lisburn and Castlereagh","Deaths","Count","1218"
"Components of population change - Local Government Districts","2016-2017","Lisburn and Castlereagh","Natural Change","Count","510"
